,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
66,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,38.56666667,2,4,67,1,0,2,2,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,96,,,-1
67,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,39.43333333,2,5,68,1,0,2,2,15,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,93,,,-1
68,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,40.05,2,5,69,1,0,2,2,15,15,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,121,,,-1
69,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,40.46666667,2,5,70,1,0,2,2,15,30,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,118,,,-1
70,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,40.91666667,2,5,71,1,0,2,2,15,40,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,,,-1
71,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,41.5,2,5,72,1,0,2,3,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,116,,,-1
72,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,42.1,2,6,73,1,0,2,3,15,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,111,,,-1
73,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,42.8,2,6,74,1,0,2,3,30,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,122,,,-1
74,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,43.18333333,2,6,75,1,0,2,3,40,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,112,,,-1
75,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,43.56666667,2,6,76,1,0,2,3,40,15,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,98,,,-1
76,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,44.61666667,2,6,77,1,0,3,3,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,,,-1
77,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,45.3,2,7,78,1,0,3,3,0,15,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,120,,,-1
78,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,46.06666667,2,7,79,1,0,3,3,0,30,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,,,-1
